ALD,Aldever Resources Inc.,Mining
ATD.B,Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares,Consumer
AP.UN,Allied Properties Real Estate Investment Trust,Real Estate
ATU,Altura Energy Inc.,Oil & Gas
APH,Aphria Inc,Life Sciences
AX.UN,Artis Real Estate Investment Trust,Real Estate
ACO.X,ATCO Ltd. Class I Non-voting Shares,Utilities & Pipelines
BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate
BBD.B,Bombardier Inc. Class B Subordinate Voting Shares,Diversified Industries
BYD.UN,Boyd Group Income Fund,Financial Services
BKD,Breaking Data Corp.,Technology
BCT,BriaCell Therapeutics Corp.,Life Sciences
BAM.A,Brookfield Asset Management Inc. Class A Limited Voting Shares,Financial Services
BPY.UN,Brookfield Property Partners L.P.,Real Estate
BEP.UN,Brookfield Renewable Energy Partners L.P.,Oil & Gas
CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate
BCC,Canadian Bioceutical Corporation (The),Life Sciences
REF.UN,Canadian Real Estate Investment Trust,Real Estate
CTC.A,Canadian Tire Corporation Limited Class A Non-Voting Shares,Consumer
CGC,Canopy Growth Corporation,Life Sciences
CCL.B,CCL Industries Inc.,Diversified Industries
GIB.A,CGI Group Inc. Class A Subordinate  Voting Shares,Technology
CSH.UN,Chartwell Retirement Residences,Real Estate
CHE.UN,Chemtrade Logistics Income Fund,Financial Services
CIG,Colliers International Group Inc. Subordinate Voting Shares,Real Estate
CUF.UN,Cominar Real Estate Investment Trust,Real Estate
CXV,Convalo Health International Corp,Life Sciences
CJR.B,Corus Entertainment Inc. Class B Non-Voting Shares,Comm & Media
CRR.UN,Crombie Real Estate Investment Trust,Real Estate
CPM,Crystal Peak Minerals Inc.,Mining
DE,Decisive Dividend Corporation,Diversified Industries
MKT,DeepMarkit Corp.,Consumer
DHX.B,DHX Media Ltd.,Comm & Media
DII.B,Dorel Industries Inc. Class B Subordinate Voting Shares,Diversified Industries
DRG.UN,Dream Global Real Estate Investment Trust,Real Estate
D.UN,Dream Office Real Estate Investment Trust,Real Estate
ED.UN,Edgefront Real Estate Investment Trust,Real Estate
ESU,EEStor Corporation,Technology
EMP.A,Empire Company Limited Non-Voting Class A Shares,Technology
FCF,FCF Capital Inc.,Financial Services
FCD.UN,Firm Capital Property Trust,Real Estate
FF,First Mining Finance Corp.,Mining
FA,Fountain Asset Corp.,Financial Services
TLK,Frankly Inc.,Technology
GAZ.UN,Fronsac Real Estate Investment Trust,Real Estate
GRT.UN,Granite Real Estate Investment Trust,Real Estate
GPV,GreenPower Motor Company Inc.,Consumer
HEM,Hemostemix Inc.,Life Sciences
HR.UN,H&R Real Estate Investment Trust,Real Estate
PJC.A,Jean Coutu Group (PJC) Inc. (The),Consumer
MTE,Mitra Energy Inc.,Oil & Gas
NU,NeutriSci International Inc.,Life Sciences
NZN,Nevada Zinc Corporation,Mining
NCA,Newcastle Gold Ltd.,Mining
NFD.A,Northfield Capital Corporation,Financial Services
NVU.UN,Northview Apartment Real Estate Investment Trust,Real Estate
MJN,PharmaCan Capital Corp,Financial Services
PLU,Plateau Uranium Inc.,Mining
PRV.UN,Pro Real Estate Investment Trust,Real Estate
AAR.UN,Pure Industrial Real Estate Trust,Real Estate
QBR.B,Quebecor Inc. Class B Subordinate Voting Shares,Comm & Media
Q.A,Questfire Energy Corp.,Oil & Gas
QSR,Restaurant Brands International Inc.,Consumer
REI.UN,RioCan Real Estate Investment Trust,Real Estate
RCI.B,Rogers Communications Inc. Class B Non-voting Shares,Comm & Media
SNS,Select Sands Corp.,Mining
VII,Seven Generations Energy Ltd. class A common shares,Oil & Gas
SJR.B,Shaw Communications Inc. Class B Non-voting Shares,Comm & Media
SEI,Sintana Energy Inc.,Oil & Gas
SRU.UN,Smart Real Estate Investment Trust,Real Estate
SKX,Striker Exploration Corp.,Mining
TCK.B,Teck Resources Limited Class B Subordinate Voting Shares,Mining
TWM,Tidewater Midstream and Infrastructure L,Oil & Gas
TTR,Titanium Transportation Group Inc.,Diversified Industries
TOO,Toro Oil & Gas Ltd.,Oil & Gas
TCL.A,Transcontinental Inc. Class A Subordinate Voting Shares,Consumer
TEP.UN,Transeastern Power Trust,Utilities & Pipelines
